,Player,Mat,Inns,Overs,Mdns,Runs,Wkts,BBI,Ave,Econ,SR,4,5
0,Umar Gul,6,6,22.3,1,184,12,4/23,15.33,8.17,11.2,1,0
1,AB Dinda,13,12,39.0,0,260,9,3/33,28.88,6.66,26.0,0,0
2,AB Agarkar,9,9,26.0,0,207,8,3/25,25.87,7.96,19.5,0,0
3,I Sharma,13,13,42.1,1,329,7,1/7,47.00,7.80,36.1,0,0
4,LR Shukla,13,9,12.0,0,124,6,3/6,20.66,10.33,12.0,0,0
5,SC Ganguly,13,7,20.0,0,128,6,2/21,21.33,6.40,20.0,0,0
6,Shoaib Akhtar,3,3,7.0,0,54,5,4/11,10.80,7.71,8.4,1,0
7,M Kartik,6,5,14.4,0,127,3,3/17,42.33,8.65,29.3,0,0
8,Mohammad Hafeez,8,4,10.0,0,68,2,1/8,34.00,6.80,30.0,0,0
9,DJ Hussey,13,5,13.0,0,130,2,1/23,65.00,10.00,39.0,0,0
10,BAW Mendis,1,1,4.0,0,24,1,1/24,24.00,6.00,24.0,0,0
11,Iqbal Abdulla,1,1,3.0,0,22,0,-,-,7.33,-,0,0
12,Records includes the following current or recent matches:,,,,,,,,,,,,
13,"Kolkata Knight Riders v Kings XI Punjab at Kolkata, Indian Premier League 52nd match, May 25, 2008
[Twenty20]",,,,,,,,,,,,
14,"Delhi Daredevils v Kolkata Knight Riders at Delhi, Indian Premier League 47th match, May 22, 2008
[Twenty20]",,,,,,,,,,,,
15,"Kolkata Knight Riders v Rajasthan Royals at Kolkata, Indian Premier League 44th match, May 20, 2008
[Twenty20]",,,,,,,,,,,,
